,batch_size,n_layers,lr,rnn_dropout,weight_decay,grad_clip,hidden_size,tuning_epochs,tuning_loss_MSE
88,64,1,0.0001,0.2,0.0,2.0,16,100,0.14254596428221197
89,16,1,0.001,0.3,0.001,0.5,64,47,0.13977222886989263
90,16,3,0.0001,0.3,0.0,0.5,16,100,0.1396153630762936
91,256,1,0.0001,0.0,0.0,2.0,256,100,0.1377899394551273
92,32,1,1e-05,0.4,0.0001,5.0,64,93,0.14414945720184166
93,128,1,1e-06,0.1,0.01,2.0,128,74,0.1453049631624521
94,16,3,0.01,0.3,1e-05,2.0,64,33,0.14153747469970723
95,32,1,0.0001,0.3,0.01,1.0,64,61,0.14435415478434505
96,16,5,0.0001,0.5,0.001,5.0,16,32,0.14474594291209975
97,32,5,1e-05,0.5,0.0001,1.0,128,100,0.14060994336701996
98,64,3,0.0001,0.2,1e-05,1.0,16,100,0.14071138992744217
99,128,3,1e-06,0.4,1e-05,,64,100,0.15068965552581448
100,256,2,0.001,0.3,1e-05,5.0,8,100,0.13914103133485764
101,128,5,0.01,0.5,0.0,5.0,16,80,0.1383089991054516
102,32,5,1e-06,0.2,0.0,2.0,8,100,0.15208461587177766
103,16,3,0.001,0.0,1e-05,0.5,16,100,0.15255242064207444
104,256,5,0.001,0.2,0.0001,,128,100,0.1366440652061203
105,128,5,1e-06,0.3,0.0001,2.0,64,100,0.14886170678822733
106,64,3,0.001,0.4,0.01,5.0,16,32,0.14493030095351095
107,64,5,0.01,0.1,0.01,0.5,8,25,0.14454625693344672
108,16,1,0.01,0.4,0.001,5.0,64,20,0.14449069140782117
109,16,5,0.01,0.3,0.0001,5.0,64,31,0.14500872935653822
110,256,1,0.001,0.2,0.0001,1.0,128,100,0.13970355419233757
111,16,2,0.001,0.5,0.0,0.5,128,100,0.1425867606384633
112,256,3,0.0001,0.1,0.0,0.5,8,65,0.14407657991367934
113,32,2,1e-06,0.2,0.01,5.0,128,70,0.14421903864880256
114,64,2,0.001,0.2,0.0,,64,100,0.1475406872675311
115,16,1,0.001,0.1,0.0001,,256,100,0.14562579293581132
116,64,3,1e-05,0.5,0.001,5.0,8,100,0.1446790075762008
117,128,1,0.0001,0.2,0.0,0.5,8,75,0.14487576391456214
118,128,1,0.001,0.1,0.0001,0.5,64,100,0.13915988365716195
119,64,5,0.01,0.2,0.001,5.0,16,42,0.14463205216537633
120,16,1,1e-06,0.0,0.0,0.5,16,71,0.1550196344791409
121,256,3,0.001,0.4,0.0,2.0,128,100,0.14037593200704288
122,64,3,1e-06,0.4,0.001,2.0,64,100,0.14623027860296647
123,32,5,1e-06,0.5,0.0001,2.0,256,100,0.14436634581335353
124,64,2,0.001,0.5,1e-05,,64,100,0.1408695896773302
125,32,5,0.0001,0.4,0.0001,1.0,128,100,0.13645080349451716
126,128,3,0.0001,0.4,0.0,0.5,16,45,0.14433218540804835
127,64,2,1e-05,0.5,0.01,,64,91,0.14571663953090355
128,16,5,0.001,0.0,0.0001,,16,100,0.13812053553211923
129,16,1,1e-06,0.2,1e-05,5.0,64,100,0.14569772480828364
130,128,3,1e-06,0.1,0.01,5.0,64,100,0.14744723445955568
131,16,1,0.01,0.2,0.0001,,128,25,0.14829821376537938
132,16,2,0.0001,0.3,0.01,2.0,16,33,0.14480380302056395
133,32,3,1e-05,0.1,1e-05,2.0,128,100,0.13952177616467976
134,32,5,0.001,0.4,1e-05,2.0,8,100,0.13718990588036414
135,256,1,1e-05,0.4,1e-05,,64,100,0.1460795739914801
136,128,5,0.01,0.2,0.001,1.0,128,33,0.14464309311043883
137,32,5,0.01,0.2,1e-05,,64,33,0.13914370894503336
138,128,1,0.001,0.1,0.0,0.5,256,100,0.19642862612804726
139,256,2,1e-06,0.3,0.001,1.0,8,100,0.15890441664513832
140,64,5,1e-06,0.5,1e-05,1.0,256,100,0.1457689820940375
141,16,2,0.001,0.2,0.001,,16,72,0.14121793266891478
142,128,2,0.001,0.5,0.01,1.0,256,53,0.14445865612473396
143,16,3,0.001,0.2,0.001,1.0,16,54,0.14159820800525827
144,256,3,1e-06,0.5,0.001,0.5,8,100,0.22305409484348362
145,256,5,0.001,0.3,0.0001,0.5,128,100,0.13893421315823212
146,32,2,0.01,0.1,0.0,5.0,64,35,0.1358696862065871
147,32,3,0.01,0.2,0.001,,128,31,0.1510926631757069
148,32,1,0.01,0.1,1e-05,5.0,256,28,0.1358486344543401
149,256,1,0.0001,0.1,0.0,2.0,8,29,0.14446081557212995
150,256,1,0.01,0.1,0.001,,256,67,0.13484539977502916
151,128,3,0.001,0.5,0.001,2.0,64,47,0.1404692896946118
152,32,3,0.01,0.3,0.01,5.0,128,26,0.14449425874560137
153,32,2,0.001,0.1,0.001,0.5,16,73,0.14232766073009
154,64,5,0.001,0.4,1e-05,0.5,8,100,0.13791407302770287
155,16,5,1e-06,0.3,0.001,5.0,128,100,0.14440873090137424
156,64,2,0.01,0.3,1e-05,,16,100,0.13637630590315625
157,16,2,0.001,0.2,1e-05,,256,100,0.19358316097287484
158,64,1,0.01,0.1,1e-05,2.0,128,44,0.13650488769348654
159,64,2,1e-06,0.5,0.0,1.0,8,100,0.16475181539281877
160,64,5,0.01,0.5,0.0,1.0,256,41,0.14488133200782147
161,32,3,1e-05,0.5,0.001,5.0,256,98,0.1392461613453647
162,32,3,0.01,0.1,0.001,0.5,128,22,0.14459093365824027
163,128,1,0.0001,0.5,0.0001,1.0,128,100,0.1367281564580923
164,128,5,0.001,0.2,1e-05,1.0,256,100,0.1758281191757777
165,256,1,1e-05,0.2,1e-05,5.0,8,100,0.14613609975116099
166,64,3,0.01,0.5,0.01,5.0,128,34,0.1445934575793612
167,32,5,1e-06,0.1,1e-05,2.0,64,100,0.14466112320526087
168,16,5,0.0001,0.1,0.0,2.0,256,100,0.15411859814469062
169,16,5,1e-05,0.5,0.0001,2.0,8,68,0.14454071948356914
170,32,3,0.001,0.5,0.01,1.0,128,39,0.14447621745027928
171,64,2,1e-05,0.4,0.0001,5.0,64,100,0.14359620406768847
172,128,3,1e-05,0.5,0.01,1.0,256,68,0.14397555266929202
173,128,1,0.001,0.0,0.0,0.5,256,100,0.20548165023100495
174,128,3,0.01,0.3,0.0001,5.0,16,88,0.13628498610056164
175,32,1,1e-05,0.3,1e-05,5.0,8,93,0.14464915845213536
176,16,5,0.001,0.5,0.0001,5.0,256,51,0.13607031428909516
177,64,1,1e-06,0.4,0.001,0.5,128,100,0.1449086236648124
178,16,3,1e-05,0.5,0.001,5.0,8,100,0.14450427715847775
179,256,2,0.001,0.0,0.0001,5.0,16,100,0.1376251684178706
180,16,3,0.001,0.1,0.0001,2.0,64,100,0.14338435016295792
181,16,2,1e-05,0.4,1e-05,2.0,256,100,0.13785215789699273
182,32,2,1e-05,0.4,0.001,5.0,16,100,0.14449451528652038
183,32,1,1e-05,0.5,0.001,1.0,128,62,0.14347596603521298
184,64,5,1e-06,0.4,0.0,5.0,16,100,0.14728909824082814
185,128,5,1e-05,0.0,0.0,0.5,64,81,0.14388253241630694
186,128,2,1e-05,0.0,0.0001,2.0,64,100,0.14272825272442302
187,32,1,0.0001,0.3,0.0001,0.5,128,100,0.13361729591674049
188,32,1,1e-06,0.4,1e-05,2.0,128,100,0.1446444169095606
189,16,2,0.0001,0.3,1e-05,2.0,64,100,0.13529787097010437
190,64,1,1e-06,0.1,1e-05,2.0,64,80,0.14623689186574707
191,32,1,1e-05,0.2,0.01,5.0,16,100,0.1441259778242672
192,32,2,0.01,0.3,1e-05,1.0,256,39,0.1393045655663028
193,128,3,1e-06,0.5,0.0001,0.5,64,100,0.1491006396932011
194,16,2,1e-06,0.1,0.01,1.0,16,54,0.1460177151755888
195,256,5,1e-05,0.5,1e-05,2.0,128,100,0.14494599282892465
196,128,1,0.01,0.5,0.01,5.0,64,23,0.14532779349793126
197,256,5,1e-06,0.4,0.01,0.5,256,100,0.15395400469200674
198,128,5,1e-05,0.1,0.0001,,8,100,0.14462827356291952
199,64,5,1e-06,0.3,0.0001,0.5,128,100,0.14532825176366054
200,256,2,1e-05,0.0,0.001,5.0,16,93,0.1453362828586185
201,256,3,0.001,0.4,0.001,5.0,128,53,0.13976154504911123
202,128,5,1e-06,0.0,0.0001,,256,100,0.14542622642269581
203,256,3,0.01,0.2,0.0001,,8,26,0.1444542004616389
204,128,2,0.001,0.4,0.001,1.0,64,60,0.1403807465378486
205,128,3,1e-05,0.1,0.0001,1.0,64,100,0.1428959727851143
206,16,3,1e-06,0.3,0.0,5.0,128,100,0.14431723039233077
207,128,3,0.0001,0.3,0.01,0.5,8,61,0.14470877133457616
208,16,2,0.0001,0.0,0.0,0.5,128,100,0.15925487483758466
209,256,3,0.0001,0.5,0.0001,1.0,16,57,0.1444231274149047
210,128,3,0.001,0.3,0.0001,5.0,128,100,0.13628472978680725
211,32,3,1e-05,0.2,1e-05,5.0,16,77,0.14456098231271208
212,64,5,1e-06,0.5,0.001,0.5,256,100,0.1458633424658399
213,128,3,0.01,0.3,0.01,2.0,128,46,0.1444918559726607
214,16,2,1e-05,0.3,1e-05,2.0,16,83,0.14437785629381658
215,128,2,0.001,0.3,0.001,0.5,128,71,0.1408579023443566
216,32,5,1e-06,0.2,0.01,,256,99,0.14471983592493495
217,256,1,0.0001,0.4,0.0001,,8,79,0.14682707918488472
218,128,3,0.001,0.2,1e-05,2.0,8,100,0.1377902060971429
219,64,2,1e-06,0.2,0.0001,0.5,64,100,0.14536226472366306
220,16,1,1e-06,0.3,1e-05,,64,100,0.144743932461643
221,32,2,0.0001,0.3,0.0,2.0,128,100,0.1372333235335444
222,32,5,0.01,0.1,0.001,,8,28,0.14587118592438675
223,64,1,0.0001,0.4,0.001,2.0,64,81,0.14133607825576916
224,64,1,1e-06,0.1,0.0,0.5,256,100,0.14290222933916524
225,256,1,1e-06,0.5,1e-05,0.5,16,100,0.28211708876432323
226,32,3,1e-05,0.5,1e-05,2.0,256,100,0.13805170665039326
227,256,1,0.001,0.3,0.0,5.0,64,94,0.13559286900856127
228,16,3,1e-05,0.5,0.001,1.0,128,91,0.14113068094909115
229,32,5,1e-06,0.1,0.0001,0.5,64,78,0.14721062142527175
230,32,1,0.01,0.5,0.0,,64,47,0.13568489934386022
231,128,5,0.001,0.1,0.0,0.5,8,98,0.13683011728045574
232,16,5,1e-06,0.0,0.01,1.0,64,92,0.14587641739530022
233,256,2,0.001,0.3,1e-05,,8,100,0.13846068593251176
234,16,3,1e-06,0.4,1e-05,5.0,128,100,0.1441338946085168
235,32,5,1e-05,0.0,1e-05,5.0,128,100,0.13969193175403624
236,256,2,1e-05,0.5,0.001,0.5,256,100,0.14158461371876635
237,128,1,0.001,0.4,0.0001,2.0,256,100,0.1407133800136511
