,batch_size,n_layers,lr,rnn_dropout,weight_decay,grad_clip,hidden_size,tuning_epochs,tuning_loss_MSE
388,256,5,0.001,0.1,0.0001,5.0,64,100,0.13652499526307324
389,128,3,1e-05,0.2,0.01,,8,100,0.14591662768724684
390,32,3,1e-05,0.2,0.01,1.0,8,58,0.1444341449376433
391,64,5,0.001,0.0,0.0,5.0,256,100,0.2001070756926862
392,256,3,1e-05,0.3,0.0001,0.5,256,100,0.14134144334874252
393,64,5,0.01,0.2,1e-05,2.0,64,72,0.1379155330983525
394,256,5,0.01,0.5,0.01,,64,35,0.14612673591827102
395,128,3,0.0001,0.5,0.001,0.5,64,100,0.142427514202527
396,256,5,1e-06,0.1,0.0,2.0,8,100,0.32354976131386487
397,32,5,0.01,0.1,1e-05,,64,40,0.14175370605451545
398,256,5,0.0001,0.1,0.001,0.5,16,100,0.14273684216226468
399,128,2,1e-05,0.1,1e-05,1.0,8,89,0.14472222795615905
400,256,2,0.0001,0.5,1e-05,1.0,256,100,0.13731764666112536
401,256,3,0.0001,0.4,0.0001,0.5,128,98,0.1381601740708707
402,16,2,0.01,0.4,0.0001,0.5,16,45,0.13871879984447433
403,128,5,1e-06,0.1,1e-05,,256,100,0.14419034460682895
404,256,1,0.0001,0.4,0.0,1.0,8,89,0.14443093876987548
405,128,3,1e-06,0.3,0.0,1.0,16,58,0.16366246953461974
406,16,2,1e-06,0.0,0.01,,256,72,0.1418949410461863
407,64,3,1e-05,0.1,0.0001,1.0,16,76,0.14405513575667653
408,128,5,1e-05,0.2,0.01,,64,100,0.14484692509404667
409,128,2,0.001,0.1,0.01,5.0,16,36,0.144534932256357
410,64,2,1e-05,0.4,0.0001,2.0,256,100,0.14011889905835828
411,256,3,1e-06,0.0,0.01,2.0,8,100,0.25713125450825086
412,64,5,1e-06,0.4,0.0,,128,100,0.1462812860490971
413,64,3,1e-05,0.3,0.0,2.0,128,100,0.1410922564362814
414,128,5,0.001,0.0,0.0001,1.0,16,100,0.1412681824594363
415,256,2,1e-05,0.5,0.0001,0.5,256,92,0.1416770644388482
416,32,5,0.001,0.3,0.001,1.0,64,65,0.13995045698306147
417,128,2,1e-06,0.3,1e-05,5.0,128,100,0.14507384052955244
418,16,1,0.01,0.2,0.001,1.0,64,18,0.14458227494854953
419,64,3,1e-06,0.5,0.0,1.0,16,100,0.14873858413493052
420,32,1,1e-05,0.1,0.0,5.0,256,100,0.14135650164916858
421,64,5,1e-05,0.5,0.01,0.5,16,86,0.1446329899779946
422,128,5,1e-06,0.5,0.0001,1.0,16,100,0.16434971242723861
423,128,3,0.01,0.4,1e-05,1.0,256,48,0.1377624900305987
424,128,3,1e-05,0.2,1e-05,2.0,256,100,0.1403906497020127
425,32,2,0.001,0.2,0.001,1.0,64,62,0.14000742175685887
426,32,5,0.001,0.0,0.0,0.5,64,100,0.19946131102016562
427,16,5,0.0001,0.2,0.01,,256,46,0.14453080417618486
428,16,3,0.01,0.5,0.001,0.5,8,21,0.14447905529562408
429,64,2,0.0001,0.1,1e-05,1.0,256,100,0.14926510851870595
430,32,5,0.001,0.2,0.0,,256,100,0.18460827374788658
431,32,2,0.0001,0.4,0.001,2.0,64,93,0.14106409093853725
432,32,3,0.0001,0.4,0.01,2.0,128,51,0.14456851358470038
433,16,1,1e-06,0.4,0.0001,,8,100,0.14671329471662187
434,32,5,0.0001,0.1,0.0001,5.0,128,100,0.13726155429068188
435,64,3,0.001,0.2,0.0,,128,100,0.16988004974649876
436,256,5,0.0001,0.5,0.01,1.0,128,30,0.14528572831011
437,128,3,1e-06,0.5,0.01,5.0,8,100,0.28071752763243896
438,32,2,0.01,0.0,0.001,,8,35,0.14464372067434123
439,32,5,0.0001,0.2,0.001,1.0,8,35,0.14455873797020005
440,16,3,0.001,0.5,0.001,1.0,128,49,0.14782602948480256
441,64,2,0.0001,0.2,0.0,1.0,8,100,0.1421543706047592
442,128,2,0.001,0.1,1e-05,2.0,128,100,0.18742169984673326
443,64,3,0.0001,0.4,1e-05,2.0,8,58,0.1445032432381908
444,16,5,1e-06,0.2,1e-05,1.0,16,100,0.14704541753223466
445,16,3,0.0001,0.5,0.0001,0.5,16,100,0.13987315414382495
446,64,1,0.01,0.5,1e-05,5.0,256,40,0.13607237569884018
447,128,1,0.01,0.4,0.001,2.0,8,33,0.1446482523833503
448,256,2,1e-05,0.4,0.001,0.5,16,100,0.1458655550168325
449,32,5,1e-05,0.0,0.0001,1.0,16,100,0.14451168429953823
450,128,2,0.001,0.4,0.01,5.0,64,48,0.1445184441298804
451,256,5,1e-06,0.3,0.001,,8,100,0.3676264478714594
452,16,3,0.0001,0.3,0.0001,,8,100,0.14142373847104542
453,256,1,0.001,0.5,0.01,1.0,64,37,0.14455344409739893
454,128,5,0.01,0.3,0.001,0.5,64,34,0.14446294232354015
455,32,5,1e-05,0.5,0.0001,0.5,8,88,0.14467266091718203
456,16,2,0.001,0.3,0.0,,8,100,0.13736149466367675
457,256,1,0.0001,0.1,0.0001,5.0,16,78,0.1442207447049453
458,16,3,1e-05,0.1,0.001,0.5,64,75,0.1423576076643798
459,64,2,1e-05,0.4,0.0001,,64,100,0.14284509764154982
460,128,3,1e-05,0.5,1e-05,1.0,64,98,0.14498876689929704
461,64,2,0.01,0.3,0.01,2.0,16,45,0.1448946251484274
462,128,5,0.01,0.3,0.001,5.0,128,49,0.14475657101178205
463,128,5,0.001,0.1,1e-05,2.0,256,100,0.20122226248110778
464,256,5,0.001,0.5,0.0001,2.0,256,100,0.13448516834400964
465,128,5,1e-06,0.5,0.001,2.0,128,100,0.15009660178627507
466,128,1,1e-06,0.3,0.0,1.0,8,100,0.290513837839719
467,32,1,1e-05,0.4,0.01,1.0,128,52,0.14422516872534388
468,128,1,1e-05,0.3,0.01,0.5,64,100,0.14450003758946925
469,256,2,0.01,0.3,1e-05,1.0,128,99,0.13761881667633805
470,64,2,0.0001,0.3,0.0,2.0,16,100,0.14180833152417377
471,256,3,0.001,0.5,0.0001,0.5,16,100,0.1384491527410881
472,32,2,0.0001,0.3,0.0,0.5,8,100,0.14269618314707525
473,128,5,0.001,0.5,0.0001,,16,29,0.14470050847195828
474,32,3,1e-06,0.3,0.0001,2.0,64,100,0.14486670622989622
475,256,2,0.01,0.3,1e-05,,8,61,0.1371729824823541
476,128,5,1e-06,0.2,0.01,5.0,256,100,0.14631385457953383
477,64,2,1e-05,0.2,0.001,1.0,64,100,0.14267557923299365
478,64,1,0.0001,0.5,0.01,5.0,128,52,0.14519094508510716
479,128,1,0.0001,0.1,1e-05,0.5,8,100,0.14392942016822977
480,64,5,1e-06,0.4,0.0,5.0,8,100,0.17639013391864805
481,128,5,0.01,0.2,0.0001,,8,27,0.1447503221640357
482,16,2,0.01,0.1,1e-05,2.0,64,36,0.1425382660423876
483,64,3,1e-05,0.2,1e-05,,64,100,0.14209661110559627
484,32,2,0.01,0.5,1e-05,2.0,128,28,0.14361964947904174
485,128,5,0.01,0.4,0.0001,5.0,64,48,0.14668714664043261
486,64,5,0.01,0.4,1e-05,0.5,64,57,0.13833901334492646
487,128,5,0.001,0.2,0.001,1.0,256,45,0.1394230156753331
488,16,3,1e-06,0.4,0.001,5.0,256,100,0.14338137387793382
489,32,2,0.001,0.0,0.001,1.0,256,59,0.13660751022309386
490,128,2,1e-05,0.4,1e-05,,16,100,0.14550371643929796
491,64,2,0.01,0.3,0.01,5.0,256,33,0.1446247627139343
492,64,1,1e-05,0.3,1e-05,5.0,64,100,0.14402879350110606
493,16,3,1e-06,0.3,0.0,5.0,64,100,0.14461869713171052
494,16,3,0.0001,0.5,0.01,1.0,8,32,0.14478640130528847
495,256,5,0.001,0.3,1e-05,5.0,256,100,0.17372845431569928
496,128,3,1e-06,0.2,0.001,1.0,128,100,0.14486416535867822
497,16,2,1e-05,0.5,0.01,0.5,64,63,0.1445116587391943
498,64,3,1e-05,0.4,0.001,5.0,64,100,0.14399773102971064
499,32,1,1e-06,0.0,1e-05,1.0,256,69,0.14329271739562832
