,Unnamed: 0,index,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
22,22,3068,,2024-03-16,,,,"Krook, Matt",681468,640454,,called_strike,,,,,,Corey Rosier called out on strikes.,S,L,L,BAL,BOS,S,,,0,0,2024,,,,,,,,1,9,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,,,,,,67,1,,3,4,4,3,4,3,4,3,,,,0.0,,,,,,,-1,1,0.174,0.826,29,24,30,25,1,0,,,,,,,,
23,23,3144,,2024-03-16,,,,"Krook, Matt",694812,640454,strikeout,called_strike,,,,,,Tyler McDonough called out on strikes.,S,R,L,BAL,BOS,S,2.0,,0,2,2024,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,0.0,,0.0,0.0,,66,3,,3,4,4,3,4,3,4,3,,,,0.016,,,,,,,-1,1,0.158,0.842,29,25,30,25,1,0,,,,,,,,
24,24,3336,,2024-03-16,,,,"Krook, Matt",694812,640454,,called_strike,,,,,,Tyler McDonough called out on strikes.,S,R,L,BAL,BOS,S,,,0,1,2024,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,,,,,,66,2,,3,4,4,3,4,3,4,3,,,,0.0,,,,,,,-1,1,0.158,0.842,29,25,30,25,1,0,,,,,,,,
25,25,3493,,2024-03-16,,,,"Krook, Matt",694812,640454,,called_strike,,,,,,Tyler McDonough called out on strikes.,S,R,L,BAL,BOS,S,,,0,0,2024,,,,,,,,0,9,Top,,,,,,,,,,,,,,,,,,,,,747948,668974,663527,681393,665155,642021,682983,669288,687637,,,,,,,,,66,1,,3,4,4,3,4,3,4,3,,,,0.0,,,,,,,-1,1,0.158,0.842,29,25,30,25,1,0,,,,,,,,
26,26,2412,,2024-03-16,,,,"Booser, Cam",668974,592155,strikeout,swinging_strike,,,,,,Maverick Handley strikes out swinging.,S,R,L,BAL,BOS,S,2.0,,0,2,2024,,,,,,,,2,8,Bot,,,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,0.0,,0.0,0.0,,65,3,,3,4,3,4,4,3,3,4,,,,-0.031,,,,,,,-1,-1,0.189,0.189,32,26,32,26,1,0,,,,,,,,
27,27,2615,,2024-03-16,,,,"Booser, Cam",668974,592155,,swinging_strike,,,,,,Maverick Handley strikes out swinging.,S,R,L,BAL,BOS,S,,,0,1,2024,,,,,,,,2,8,Bot,,,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,,,,,,65,2,,3,4,3,4,4,3,3,4,,,,0.0,,,,,,,-1,-1,0.189,0.189,32,26,32,26,1,0,,,,,,,,
28,28,2864,,2024-03-16,,,,"Booser, Cam",668974,592155,,swinging_strike,,,,,,Maverick Handley strikes out swinging.,S,R,L,BAL,BOS,S,,,0,0,2024,,,,,,,,2,8,Bot,,,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,,,,,,65,1,,3,4,3,4,4,3,3,4,,,,0.0,,,,,,,-1,-1,0.189,0.189,32,26,32,26,1,0,,,,,,,,
29,29,2927,,2024-03-16,,,,"Booser, Cam",669288,592155,strikeout,swinging_strike,,,,,,Daniel Johnson strikes out swinging.,S,L,L,BAL,BOS,S,2.0,,0,2,2024,,,,,,,,1,8,Bot,,,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,0.0,,0.0,0.0,,64,3,,3,4,3,4,4,3,3,4,,,,-0.046,,,,,,,-1,-1,0.235,0.235,32,28,32,29,1,0,,,,,,,,
30,30,3222,,2024-03-16,,,,"Booser, Cam",669288,592155,,swinging_strike,,,,,,Daniel Johnson strikes out swinging.,S,L,L,BAL,BOS,S,,,0,1,2024,,,,,,,,1,8,Bot,,,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,,,,,,64,2,,3,4,3,4,4,3,3,4,,,,0.0,,,,,,,-1,-1,0.235,0.235,32,28,32,29,1,0,,,,,,,,
31,31,3300,,2024-03-16,,,,"Booser, Cam",669288,592155,,swinging_strike,,,,,,Daniel Johnson strikes out swinging.,S,L,L,BAL,BOS,S,,,0,0,2024,,,,,,,,1,8,Bot,,,,,,,,,,,,,,,,,,,,,747948,656627,694359,642197,656388,686765,681468,694812,676628,,,,,,,,,64,1,,3,4,3,4,4,3,3,4,,,,0.0,,,,,,,-1,-1,0.235,0.235,32,28,32,29,1,0,,,,,,,,
