,batch_size,lr,mlp_dropout,weight_decay,hidden_size,grad_clip,tuning_epochs,tuning_loss_MSE
45,128,0.0001,0.25,0.0,16,,91,0.13568117144084624
46,256,1e-05,0.5,0.0,16,1.0,34,0.1471491003550118
47,128,0.0001,0.33,1e-05,16,1.0,118,0.1353190705180168
48,64,0.01,0.0,0.0001,128,,29,0.14374403647037742
49,256,0.0001,0.1,0.0,16,,200,0.13670981190813922
50,64,0.01,0.0,0.0,128,1.0,144,0.19522387252096668
51,128,0.0001,0.5,0.0,128,2.0,200,0.15891197411404293
52,128,0.0001,0.33,0.01,256,2.0,200,0.13572688335921718
53,16,1e-05,0.1,0.0,256,1.0,200,0.15023341469772164
54,128,0.001,0.0,0.0,8,,200,0.14880061204065623
55,128,0.01,0.5,0.001,16,0.5,34,0.1347925340895275
56,64,0.0001,0.25,0.001,16,,184,0.13705509707921906
57,16,1e-05,0.25,0.01,8,0.5,171,0.13493730452292244
58,128,0.001,0.25,0.0,64,0.5,200,0.18527121641844657
59,16,1e-05,0.25,0.0,256,1.0,200,0.14784207927882465
60,256,0.01,0.5,0.0,8,,100,0.141290878882998
61,16,0.01,0.25,0.0,16,1.0,33,0.13706751125110694
62,128,0.01,0.1,0.001,8,1.0,24,0.13660308084320574
63,256,1e-05,0.0,0.0,16,2.0,200,0.15127988316952312
64,16,0.0001,0.25,0.001,8,2.0,109,0.13618775477284686
65,128,0.0001,0.5,0.001,16,1.0,174,0.13508825127431467
66,16,1e-05,0.25,1e-05,256,2.0,200,0.14674723037855752
67,16,0.01,0.1,1e-05,128,0.5,35,0.14824200812688382
68,128,1e-05,0.5,0.0001,64,1.0,126,0.13697171379618547
69,64,1e-05,0.5,1e-05,16,,131,0.13746607200895605
70,64,0.01,0.5,0.0001,16,2.0,53,0.13737955615079758
71,128,0.01,0.1,0.001,64,0.5,55,0.13820214469330108
72,256,0.01,0.25,0.0,8,1.0,139,0.1502029744616973
73,128,1e-05,0.25,1e-05,16,,200,0.1381513473865802
74,64,0.01,0.25,0.0,64,,81,0.14289155719676228
75,16,1e-05,0.33,0.01,64,,92,0.13420915736598715
76,256,0.01,0.5,0.001,16,2.0,63,0.13551418002567994
77,128,0.01,0.5,0.01,16,,43,0.13652305073254303
78,16,0.0001,0.25,0.01,16,2.0,152,0.13389410774706967
79,128,0.0001,0.0,0.0001,256,,200,0.19183172798968587
80,256,0.0001,0.5,0.01,8,,157,0.13482100551868992
81,128,0.0001,0.5,0.01,256,,200,0.13520618482668256
82,64,0.001,0.33,0.001,8,,142,0.14015476065762264
83,64,0.01,0.0,1e-05,256,1.0,41,0.1650075285653425
84,256,0.0001,0.25,0.001,128,1.0,200,0.15325158685963547
85,64,1e-05,0.1,1e-05,8,0.5,183,0.13678718965197703
86,64,0.01,0.5,0.0,128,,17,945.1446178104912
87,128,0.001,0.25,0.001,8,1.0,197,0.14551904318107342
88,64,0.001,0.0,1e-05,8,,200,0.15216524290326075
89,256,0.001,0.33,1e-05,128,,200,0.195759032162384
90,256,0.01,0.33,1e-05,64,2.0,152,0.17014327121120595
91,64,0.001,0.1,1e-05,64,,162,0.2045965775132925
92,128,1e-05,0.0,0.001,8,1.0,200,0.13618793590479714
93,128,1e-05,0.33,0.0,8,1.0,145,0.13980941554690668
94,128,0.0001,0.0,0.001,8,1.0,200,0.1376841036912217
95,64,1e-05,0.33,0.01,64,1.0,107,0.13490334963781955
96,256,0.01,0.33,0.0,64,1.0,143,0.17236175388201316
97,256,1e-05,0.1,0.01,16,1.0,200,0.2231628492484911
98,64,0.01,0.25,0.001,8,0.5,24,0.1367112407094493
99,16,1e-05,0.25,0.01,8,,200,0.13493392844014568
100,256,0.01,0.5,0.001,8,2.0,36,0.1357251368043653
101,128,0.001,0.33,0.0001,64,2.0,200,0.1880205567757896
102,16,0.0001,0.5,0.0,256,2.0,200,0.18688015408446343
103,128,0.001,0.0,0.001,128,,200,0.18267340792227818
104,256,0.001,0.25,0.0001,128,0.5,200,0.19248557983172113
105,64,0.0001,0.1,1e-05,256,0.5,200,0.1947569355503232
106,64,0.01,0.0,0.0,64,,52,0.5944730991120964
107,256,0.01,0.33,0.0001,64,0.5,113,0.16015862578563678
108,16,0.01,0.5,0.01,256,0.5,28,0.15231551891652306
109,128,0.01,0.5,0.0001,8,1.0,74,0.13843540649516786
110,128,0.01,0.0,1e-05,64,0.5,165,0.18386441468364087
111,256,1e-05,0.0,0.0001,128,0.5,200,0.13699832083327312
112,16,0.001,0.33,0.01,256,0.5,37,0.13551571478729368
113,16,0.01,0.25,0.0,128,0.5,20,0.163308949450638
114,128,0.01,0.0,1e-05,128,,22,1070.6971341141734
115,256,0.001,0.0,0.0001,256,1.0,165,0.201544675612052
116,16,1e-05,0.33,0.001,64,,130,0.13456328915609428
117,256,0.0001,0.5,0.0001,256,2.0,200,0.16292523127036262
118,64,1e-05,0.1,0.0,16,2.0,200,0.13479929679048153
119,64,0.001,0.1,0.0001,128,,200,0.19412027491597023
120,16,0.001,0.5,0.001,256,1.0,119,0.14799604997028487
121,256,0.001,0.25,0.0001,16,0.5,184,0.1567526727624864
122,64,0.01,0.5,0.001,8,,43,0.13803618721161723
123,64,0.0001,0.5,0.01,16,2.0,92,0.13433861067677805
124,64,0.0001,0.25,0.001,256,1.0,200,0.1815995997070355
125,16,0.001,0.5,0.0,256,0.5,99,0.18142317619027157
126,128,0.001,0.0,0.0001,8,,200,0.15217030280741492
127,128,0.01,0.25,1e-05,128,1.0,81,0.16168282504625167
128,256,0.001,0.25,0.0,8,0.5,151,0.14384773518991106
129,128,1e-05,0.1,0.01,64,0.5,136,0.13506430232168654
130,64,1e-05,0.0,0.0,8,1.0,200,0.15012780911314397
131,16,0.0001,0.33,0.01,128,1.0,123,0.13493663520242208
132,256,0.0001,0.5,0.001,16,2.0,172,0.1350438830016221
133,128,0.0001,0.33,0.01,128,0.5,200,0.13534922018553996
134,64,1e-05,0.0,0.001,8,2.0,200,0.13552694175187874
135,256,0.001,0.5,0.01,16,0.5,78,0.13459447158385351
136,256,0.001,0.5,1e-05,128,1.0,200,0.19327327831906524
137,64,0.001,0.25,0.0,8,0.5,200,0.1463785709462454
138,256,0.0001,0.5,0.01,8,0.5,175,0.13531985915187666
139,64,0.0001,0.25,0.001,16,0.5,200,0.1405252935614662
140,256,1e-05,0.0,1e-05,16,1.0,200,0.14013426240282476
141,16,0.0001,0.33,0.01,256,0.5,74,0.13401296012843955
142,128,0.0001,0.25,1e-05,16,,200,0.13676459653001433
143,256,0.01,0.1,0.0001,16,,164,0.15971406630089582
144,256,0.01,0.25,0.0,8,,104,0.14577280119568875
145,16,0.001,0.25,0.01,256,0.5,45,0.13575908916124127
146,64,1e-05,0.0,0.01,8,0.5,200,0.13576174389785822
147,256,1e-05,0.1,0.01,16,1.0,200,0.14044272500330413
148,16,0.01,0.1,1e-05,8,1.0,63,0.13737281160565032
149,16,0.001,0.0,0.001,64,,190,0.17625945793662823
