,batch_size,n_layers,lr,rnn_dropout,weight_decay,grad_clip,hidden_size,tuning_epochs,tuning_loss_MSE
89,64,2,0.01,0.0,0.001,,256,21,0.14390459250065915
90,128,3,0.01,0.33,1e-05,1.0,128,52,0.1318275572049941
91,16,3,0.0001,0.0,0.0001,,16,150,0.13870847205307188
92,32,1,0.0001,0.2,0.001,1.0,128,74,0.13858829510137388
93,128,2,0.01,0.2,0.001,0.5,128,35,0.14342494943516382
94,64,3,0.01,0.2,0.0,,8,40,0.13438394007333207
95,32,1,0.0001,0.0,0.0,2.0,64,150,0.14276153553766538
96,32,2,0.001,0.1,0.0,1.0,8,146,0.1367721165775673
97,256,1,0.001,0.5,0.0001,2.0,64,150,0.1335307801386977
98,256,3,0.01,0.1,0.0,,8,89,0.13454413710989166
99,16,2,0.001,0.5,0.0,0.5,256,150,0.15895415947224384
100,64,1,0.001,0.5,0.001,0.5,16,30,0.1433660866942482
101,32,1,0.0001,0.33,0.0001,2.0,64,150,0.13592949089820058
102,128,1,0.001,0.2,0.01,1.0,64,42,0.14355997518792263
103,128,2,1e-05,0.5,0.0001,0.5,256,84,0.14024299922049088
104,32,1,0.01,0.33,0.01,0.5,256,19,0.14407771931931407
105,16,3,0.0001,0.33,0.01,0.5,128,53,0.1432799047691446
106,128,3,0.01,0.5,0.001,,128,39,0.14368404908943208
107,64,3,0.01,0.2,0.001,,16,28,0.14352358450713135
108,256,1,0.01,0.2,0.01,0.5,128,43,0.14329935686198103
109,32,2,0.0001,0.33,1e-05,2.0,8,34,0.14346854525402736
110,128,2,0.001,0.1,1e-05,2.0,128,150,0.18500463280353055
111,128,2,0.001,0.2,0.0001,2.0,128,150,0.1594763578227032
112,16,1,0.01,0.2,0.001,,16,28,0.1433507817126215
113,128,1,0.001,0.5,0.001,1.0,64,99,0.13891758660399475
114,128,2,0.0001,0.33,1e-05,2.0,256,150,0.137717803017268
115,16,2,0.01,0.1,0.001,1.0,64,27,0.14566487978737416
116,256,1,0.01,0.2,0.01,2.0,128,56,0.14343279746462687
117,16,2,0.001,0.2,0.001,2.0,16,50,0.1432617927194056
118,32,3,0.01,0.33,0.01,1.0,16,25,0.14380905507876693
119,32,1,1e-05,0.2,0.01,1.0,128,71,0.1433863195426933
